user,language,anger,bitter,fear,joy,peace,power,sad,surprise,tender,tension,transcendence,excerpt,emotion,quadrant,preference,pref_enc,familiarity,fam_enc,understanding,und_enc,mus_train,mus_train_encod,emotions,emotions_enc,mus_soph,mus_soph_enc
57,spanish,1,1,1,4,1,1,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,4,1,5,1,38,1,42,1,111,1
58,spanish,1,1,1,5,1,1,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,5,1,21,0,37,1,60,0
59,spanish,2,2,2,4,3,4,2,3,2,2,2,joy_1,joy,q1_a_pos_v_pos,2,0,3, ,2,0,40,1,32,0,113,1
60,spanish,1,2,1,4,2,4,2,3,2,3,3,joy_1,joy,q1_a_pos_v_pos,3, ,4,1,4,1,9,0,35,1,48,0
61,spanish,2,2,2,4,4,4,2,2,4,2,4,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,4,1,12,0,37,1,67,0
62,spanish,1,1,1,5,4,4,1,5,4,1,1,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,5,1,26,0,31,0,77,0
63,spanish,1,1,1,4,4,3,2,2,4,2,2,joy_1,joy,q1_a_pos_v_pos,4,1,2,0,4,1,11,0,26,0,52,0
64,spanish,1,1,1,4,1,2,1,2,1,1,1,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,1,0,28,1,38,1,68,0
65,spanish,1,1,1,4,2,5,1,4,2,2,2,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,5,1,26,0,39,1,97,1
66,spanish,1,1,1,5,4,3,1,3,3,1,2,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,1,0,11,0,35,1,47,0
67,spanish,1,1,1,5,1,5,1,5,1,3,1,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,5,1,17,0,37,1,59,0
68,spanish,1,1,1,5,1,4,1,3,1,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,4,1,3, ,41,1,35,1,106,1
69,spanish,1,1,1,4,4,4,1,1,4,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,1,0,9,0,37,1,57,0
70,spanish,1,1,1,5,1,2,1,2,1,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,5,1,13,0,39,1,79,0
71,spanish,1,1,1,5,4,5,1,5,5,1,4,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,3, ,36,1,39,1,101,1
72,spanish,1,1,1,5,3,1,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,4,1,43,1,40,1,107,1
73,spanish,2,2,2,4,2,4,2,4,3,2,2,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,4,1,34,1,33,0,87,1
74,spanish,1,1,1,3,2,3,1,4,1,4,1,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,2,0,15,0,31,0,64,0
75,spanish,1,1,1,5,1,3,1,4,1,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,4,1,46,1,37,1,106,1
76,spanish,1,2,2,4,1,1,1,1,1,2,3,joy_1,joy,q1_a_pos_v_pos,2,0,5,1,5,1,19,0,35,1,65,0
77,spanish,2,4,2,5,2,4,4,2,4,1,4,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,5,1,11,0,33,0,46,0
78,spanish,1,1,1,5,1,1,1,1,5,1,1,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,5,1,11,0,39,1,66,0
79,spanish,1,1,1,5,2,4,1,4,1,2,3,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,4,1,18,0,35,1,67,0
80,spanish,1,1,1,3,3,2,2,2,3,3,2,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,1,0,25,0,36,1,96,1
81,spanish,1,1,1,4,1,1,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,1,0,7,0,23,0,54,0
82,mandarin,3,3,1,4,1,5,1,3,1,4,1,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,1,0,45,1,40,1,113,1
83,mandarin,1,1,1,4,3,2,1,2,2,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,3, ,22,0,36,1,80,0
84,mandarin,2,4,2,3,3,2,2,2,3,2,1,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,1,0,14,0,34,0,86,1
85,mandarin,1,1,1,5,4,5,1,1,4,1,3,joy_1,joy,q1_a_pos_v_pos,5,1,4,1,2,0,20,0,26,0,64,0
86,mandarin,1,1,1,5,3,1,1,2,1,1,1,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,1,0,10,0,34,0,71,0
87,mandarin,3,3,3,4,3,4,3,3,3,3,4,joy_1,joy,q1_a_pos_v_pos,3, ,3, ,3, ,17,0,25,0,68,0
88,mandarin,1,1,1,4,2,2,2,2,2,3,2,joy_1,joy,q1_a_pos_v_pos,3, ,4,1,1,0,22,0,29,0,83,1
89,mandarin,1,1,1,5,3,4,1,1,3,1,4,joy_1,joy,q1_a_pos_v_pos,4,1,1,0,4,1,24,0,36,1,93,1
90,mandarin,1,1,1,5,3,5,1,1,3,1,4,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,4,1,17,0,27,0,52,0
91,mandarin,1,1,1,5,2,4,1,2,3,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,5,1,16,0,38,1,77,0
92,mandarin,2,1,1,5,4,5,1,4,3,2,3,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,4,1,23,0,36,1,98,1
93,mandarin,3,3,2,4,3,4,2,2,4,2,3,joy_1,joy,q1_a_pos_v_pos,4,1,1,0,4,1,10,0,29,0,56,0
94,mandarin,1,1,1,4,3,3,3,3,2,1,3,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,1,0,41,1,42,1,106,1
95,mandarin,2,1,2,4,3,5,1,3,2,4,3,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,3, ,20,0,35,1,94,1
96,mandarin,2,2,2,4,1,4,2,4,2,4,4,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,4,1,24,0,32,0,77,0
97,mandarin,1,1,2,4,3,4,2,4,2,4,2,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,5,1,26,0,34,0,90,1
98,mandarin,2,2,2,4,4,4,3,3,4,3,4,joy_1,joy,q1_a_pos_v_pos,4,1,2,0,3, ,13,0,20,0,52,0
99,mandarin,1,1,1,4,1,4,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,2,0,4,1,3, ,31,1,40,1,94,1
100,mandarin,1,2,1,5,5,5,1,3,5,1,5,joy_1,joy,q1_a_pos_v_pos,5,1,1,0,5,1,30,1,39,1,104,1
101,mandarin,1,1,1,1,1,5,1,1,1,1,4,joy_1,joy,q1_a_pos_v_pos,3, ,4,1,1,0,41,1,37,1,106,1
102,mandarin,1,1,1,4,4,4,1,1,3,1,4,joy_1,joy,q1_a_pos_v_pos,3, ,1,0,4,1,17,0,26,0,70,0
103,mandarin,2,3,3,4,2,4,2,3,2,3,4,joy_1,joy,q1_a_pos_v_pos,4,1,1,0,2,0,25,0,34,0,75,0
104,mandarin,1,1,1,5,1,4,1,4,1,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,4,1,4,1,24,0,38,1,93,1
105,mandarin,1,3,1,4,1,4,2,4,1,3,1,joy_1,joy,q1_a_pos_v_pos,1,0,4,1,5,1,18,0,29,0,79,0
